   SAO; m(vis); RA(deg); DEC(deg); RAchange(deg/yr); DECchange(deg/yr)
17828;5;273.4741855;64.39729814;0.0002247;0.00000972
17888;5;276.4962279;65.56352607;0.00006972;-0.00000722
17947;6;279.0552623;65.48868171;0.00001218;0.0000225
17958;5.6;279.3895747;62.52644989;-0.0000042;0.00001222
17975;6;280.2347169;62.74971673;0;0.00001694
18079;5.8;284.1068101;65.25834572;-0.0000168;-0.00000528
18222;3.2;288.1387946;67.66157164;0.0000693;0.00002555
18299;4.6;290.1672412;65.71450108;0.00001008;0.00001111
18396;4.8;293.090242;69.66117501;0.00048384;-0.00048304
18508;5.9;296.0773099;69.33701371;0.00001302;-0.00000667
18627;6;299.6198656;63.53422285;-0.00000294;-0.00000722
18658;5.4;300.3690363;64.82100115;0.00000546;-0.00000361
18676;4.7;300.7044448;67.87357412;0.0000105;0.00001306
18700;5.6;301.3870033;61.99553326;0.00007224;0.00002055
18751;5.7;302.8955164;62.07874452;0.0000735;0.00002305
18807;5.6;304.90283;62.25747247;0.0000063;0.00000722
18817;6;305.0252465;68.88058563;0.0000147;0.00001
18826;5.9;305.2975339;63.98043395;-0.00000252;0.00000639
18897;4.3;307.3954643;62.9941028;0.0000273;-0.00000389
18979;6;310.0744486;60.5052357;0.00000504;0.00005139
19004;5.6;310.7960692;66.65750744;0.00001764;0.00000972
19019;3.6;311.3225907;61.83884128;0.0000525;0.00022749
19229;5.2;317.3835008;68.49027174;-0.00002436;-0.00001861
19302;2.6;319.6450434;62.58558374;0.0000924;0.00001361
19313;5.2;319.8427895;64.8717956;0.0000042;0.00000083
19432;5.4;321.9421816;66.80919864;-0.00001008;-0.00000556
19466;5.5;322.7470111;60.45947698;-0.00000084;-0.00000028
19541;4.9;324.4803036;62.08195824;-0.00000084;-0.00000111
19621;6;326.2220667;62.46061129;-0.0000042;-0.00000056
19624;4.5;326.3624127;61.1207914;-0.00000084;-0.00000111
19642;5.6;326.8556087;60.69276313;-0.00000462;0
19742;5.9;328.8795427;65.32091789;0.00000462;0.00000083
19753;4.9;329.1633511;63.62566179;-0.00000042;0.00000028
19827;4.6;330.9477268;64.62786732;0.0001365;0.00002361
19828;5.5;330.9704017;63.11982525;0.0000189;0.00001528
19847;5.4;331.2522351;62.78570307;0.00000966;0.00001611
19849;5.2;331.287181;62.27990549;0.00000168;0
19922;5.5;332.6623483;70.13269481;-0.00004914;0.00000806
19932;5.5;333.0081107;60.75937179;-0.00000462;0.00000528
19991;6;334.5531945;62.80448922;0.00002814;0.00000417
20042;6;335.751095;62.42005274;-0.00000294;0.00001111
20075;5.7;336.7726081;65.13234825;0.0000021;-0.00000083
20150;6;338.2622336;69.91356931;0.00009408;0.00001889
20190;5.2;339.6628088;63.58443918;-0.0000021;-0.00000722
20268;3.7;342.420231;66.20043764;-0.00004494;-0.00003472
20398;5.5;345.887232;67.20931011;0.0000168;0.00000333
20554;4.9;349.6565794;68.11160781;0.0000441;0.00000444
20614;5.2;351.2095047;62.28284477;0.0000063;-0.00000333
20838;5.9;356.6530148;66.7823378;0.00000294;0.00000028
20853;5;356.9782361;67.80684343;0.00001008;-0.00000056
20869;5.6;357.2091611;62.21453041;-0.00000294;-0.00000028
21009;5.7;0.40381278;61.22302201;-0.00000378;0.00000139
21133;2.4;2.29466356;59.14974083;0.00028812;-0.00005083
21366;5.4;6.06518958;52.01994086;0.0000063;-0.00000111
21381;5.7;6.27671879;53.04676353;0.00001134;-0.00000167
21457;5.9;7.58296105;59.97737694;0.00000924;-0.00000333
21486;5.7;7.92167376;52.83936362;-0.00002436;-0.00000556
21489;4.9;7.943382;54.52229711;0.00002184;-0.00000278
21551;5.1;9.03454498;54.16851101;0.00001008;0
21566;3.7;9.24290746;53.89692491;0.00000924;-0.00000278
21609;2.5;10.12694098;56.53736174;0.0000273;-0.00000889
21637;4.9;10.51624932;50.5125405;0.0000063;-0.00000167
21677;5.5;11.32169133;55.22155854;-0.00001218;0.00000056
21729;5;12.20858792;50.96829593;0.00001554;-0.00000167
21732;3.6;12.27517079;57.81591236;0.00057834;-0.00014694
